# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
3.700000000000000000e+01 3.157906773303854626e-06 2.745963129439869663e+05 1.012334426011808119e+00 1.000013522347631190e+00 4.999968524138171944e-01 3.239399137443804648e+03 2.628601803710729357e+01 3.637617380406940981e+01 5.196899740994676442e+00 1.990462344248150606e+00 1.999955683702395911e-05
3.800000000000000000e+01 3.215492084660359636e-06 2.821262585052691284e+05 1.012820326377095403e+00 1.000013815864844169e+00 4.999968118211334245e-01 3.289672624935631120e+03 2.647294105830993161e+01 3.663581929821861394e+01 5.375578175407376591e+00 1.990159276076594708e+00 1.999955673478705527e-05
3.900000000000000000e+01 3.272174966201170979e-06 2.897550057405504049e+05 1.013313863653232172e+00 1.000014106523386292e+00 4.999967738327456557e-01 3.339923263115150803e+03 2.665990374531980578e+01 3.689550132610098387e+01 5.556694553371062995e+00 1.989855429302809231e+00 1.999955663600664217e-05
4.000000000000000000e+01 3.327984110575486366e-06 2.974827878910483560e+05 1.013815041150034180e+00 1.000014394400544626e+00 4.999967383974197599e-01 3.390153717362386942e+03 2.684689262354492101e+01 3.715520302234191519e+01 5.740236963459976138e+00 1.989551311829962144e+00 1.999955654051601694e-05
4.100000000000000000e+01 3.382945275444791248e-06 3.053098556360671064e+05 1.014323842881523108e+00 1.000014679562765352e+00 4.999967054666439870e-01 3.440366662883929166e+03 2.703389911816639568e+01 3.741491427103240852e+01 5.926191707798815322e+00 1.989247453016842915e+00 1.999955644815899349e-05
4.200000000000000000e+01 3.437081636558048992e-06 3.132362464955846663e+05 1.014840240453877884e+00 1.000014962066818835e+00 4.999966749937279076e-01 3.490563326556783522e+03 2.722091240147434377e+01 3.767462164998049445e+01 6.114542289695159560e+00 1.988944348370015991e+00 1.999955635879180322e-05
4.300000000000000000e+01 3.490418243997556071e-06 3.212617928881693515e+05 1.015364232858285920e+00 1.000015241982639802e+00 4.999966469314590656e-01 3.540743626164348825e+03 2.740791948601662043e+01 3.793430861359141204e+01 6.305275995341264483e+00 1.988642475865152859e+00 1.999955627228150939e-05
4.400000000000000000e+01 3.542979019506020468e-06 3.293867689648088999e+05 1.015895819601858818e+00 1.000015519377526640e+00 4.999966212338916027e-01 3.590910216503533775e+03 2.759491958097455111e+01 3.819397553525610078e+01 6.498387328481656233e+00 1.988342273579305930e+00 1.999955618849844142e-05
4.500000000000000000e+01 3.594786823440307665e-06 3.376114627301146975e+05 1.016435000822092372e+00 1.000015794316259754e+00 4.999965978564146485e-01 3.641065722891396490e+03 2.778191354497877441e+01 3.845362490308313141e+01 6.693871962926753127e+00 1.988044162530003600e+00 1.999955610732059947e-05
4.600000000000000000e+01 3.645863517551590195e-06 3.459361778272814117e+05 1.016981776844508412e+00 1.000016066861170616e+00 4.999965767558493535e-01 3.691212754411866172e+03 2.796890348671013271e+01 3.871326082261633417e+01 6.891726819056976261e+00 1.987748546883487011e+00 1.999955602863314619e-05
4.700000000000000000e+01 3.696230022170023367e-06 3.543612363026962266e+05 1.017536148548367825e+00 1.000016337072216377e+00 4.999965578904559393e-01 3.741353917303888466e+03 2.815589290971925962e+01 3.897288932031990072e+01 7.091950165167511422e+00 1.987455815813234050e+00 1.999955595232800017e-05
4.800000000000000000e+01 3.745906369837147352e-06 3.628869759180305409e+05 1.018098117557572291e+00 1.000016605007068904e+00 4.999965412197629466e-01 3.791491796139076541e+03 2.834288609055210628e+01 3.923251740350615790e+01 7.294541262029708761e+00 1.987166344921263983e+00 1.999955587830332774e-05
4.900000000000000000e+01 3.794911755885727370e-06 3.715137498184705619e+05 1.018667685902152842e+00 1.000016870721196272e+00 4.999965267046134754e-01 3.841628953466470648e+03 2.852988784852303183e+01 3.949215272752366701e+01 7.499500733662936902e+00 1.986880481612703253e+00 1.999955580646249598e-05
5.000000000000000000e+01 3.843263887444639871e-06 3.802419275863515213e+05 1.019244847817992072e+00 1.000017134264156837e+00 4.999965143072896412e-01 3.891767939273985121e+03 2.871690341571821392e+01 3.975180343492216650e+01 7.706829020105031347e+00 1.986598549016904913e+00 1.999955573671376445e-05
5.100000000000000000e+01 3.890976941382393652e-06 3.890717679356711451e+05 1.019829563239599945e+00 1.000017395668162612e+00 4.999965039917684262e-01 3.941910567784018440e+03 2.890393609532989672e+01 4.001147497950758236e+01 7.916519407313168166e+00 1.986320881816621142e+00 1.999955566897200973e-05
5.200000000000000000e+01 3.938068008713294523e-06 3.980030095440938021e+05 1.020421834285406115e+00 1.000017654983066162e+00 4.999964957221036399e-01 3.992055678163020730e+03 2.909097891564932681e+01 4.027115851608527919e+01 8.128565884380668294e+00 1.986047833947324870e+00 1.999955560316096496e-05
5.300000000000000000e+01 3.984553503925868352e-06 4.070360455750178080e+05 1.021021663129533463e+00 1.000017912256774943e+00 4.999964894633186496e-01 4.042205779645149505e+03 2.927803856291127360e+01 4.053086417473794256e+01 8.342971209686021794e+00 1.985779727744345191e+00 1.999955553920347562e-05
5.400000000000000000e+01 4.030449200926444138e-06 4.161712822456148569e+05 1.021629052527794901e+00 1.000018167535382529e+00 4.999964851815296152e-01 4.092363347880594574e+03 2.946512213077141595e+01 4.079060259563262747e+01 8.559738820313846475e+00 1.985516876320187363e+00 1.999955547702649697e-05
5.500000000000000000e+01 4.075770266337308358e-06 4.254091429768349626e+05 1.022244005888252039e+00 1.000018420863238777e+00 4.999964828439033004e-01 4.142530850450324579e+03 2.965223701677861712e+01 4.105038482316322757e+01 8.778872898895782484e+00 1.985259584044710035e+00 1.999955541656072815e-05
5.600000000000000000e+01 4.120531290685877709e-06 4.347500679215434939e+05 1.022866527202087150e+00 1.000018672283037313e+00 4.999964824186339807e-01 4.192710743250915584e+03 2.983939082884904792e+01 4.131022216801211044e+01 9.000378267061089232e+00 1.985008146627479597e+00 1.999955535774043943e-05
5.700000000000000000e+01 4.164746317631615847e-06 4.441945139043422532e+05 1.023496621054547084e+00 1.000018921835870600e+00 4.999964838748796048e-01 4.242905469564591840e+03 3.002659130864580916e+01 4.157012610314922796e+01 9.224260421970333468e+00 1.984762850345543894e+00 1.999955530050325189e-05
5.800000000000000000e+01 4.208428871348075093e-06 4.537429551571676857e+05 1.024134292618851250e+00 1.000019169561313648e+00 4.999964871827217161e-01 4.293117466567582596e+03 3.021384638406596679e+01 4.183010834203930983e+01 9.450525485545639981e+00 1.984523973282779741e+00 1.999955524478986307e-05
5.900000000000000000e+01 4.251591186628803468e-06 4.633958838708428084e+05 1.024779534833382355e+00 1.000019415492943597e+00 4.999964923130812422e-01 4.343349167217897048e+03 3.040116408604247766e+01 4.209018072812149569e+01 9.679178237890074143e+00 1.984291784854268270e+00 1.999955519054385380e-05
6.000000000000000000e+01 4.294242721232502677e-06 4.731536292896841769e+05 1.025432305086612317e+00 1.000019659649662218e+00 4.999964992371915273e-01 4.393602069733879034e+03 3.058854922632997031e+01 4.235035061469439910e+01 9.910215697120566603e+00 1.984066550640572579e+00 1.999955513771254880e-05
6.100000000000000000e+01 4.336395706391886556e-06 4.830159847488643136e+05 1.026092608603442313e+00 1.000019902067259991e+00 4.999965079273919755e-01 4.443874903756113781e+03 3.077599651793803659e+01 4.261061130871468094e+01 1.014363643786688307e+01 1.983848538205037926e+00 1.999955508624854471e-05
6.200000000000000000e+01 4.378061941808850783e-06 4.929834654665422859e+05 1.026760450628801280e+00 1.000020142780184473e+00 4.999965183567788296e-01 4.494170074583413225e+03 3.096351416659865308e+01 4.287097490394314292e+01 1.037944838765487887e+01 1.983637989702879079e+00 1.999955503610284575e-05
6.300000000000000000e+01 4.419252816215086362e-06 5.030566003443211084e+05 1.027435837116370987e+00 1.000020381821648208e+00 4.999965304992628479e-01 4.544489962500815636e+03 3.115111062375820694e+01 4.313145380181780553e+01 1.061766006452242728e+01 1.983435139193611141e+00 1.999955498722876348e-05
6.400000000000000000e+01 4.459979326549372270e-06 5.132359358084510313e+05 1.028118774555602633e+00 1.000020619223674023e+00 4.999965443295231737e-01 4.594836942376906336e+03 3.133879448424926650e+01 4.339206059840566354e+01 1.085828054713075197e+01 1.983240212654580059e+00 1.999955493958180495e-05
6.500000000000000000e+01 4.500252096020323504e-06 5.235220357845360413e+05 1.028809270051481484e+00 1.000020855017146992e+00 4.999965598229917374e-01 4.645213383490936394e+03 3.152657444772201600e+01 4.365280803313301305e+01 1.110131953357550039e+01 1.983053427775499644e+00 1.999955489311954396e-05
6.600000000000000000e+01 4.540081391084588837e-06 5.339154821581846336e+05 1.029507331310353990e+00 1.000021089231866611e+00 4.999965769558660789e-01 4.695621652483433536e+03 3.171445935088776480e+01 4.391370903772018153e+01 1.134678729846792145e+01 1.982874994638207822e+00 1.999955484780147202e-05
6.700000000000000000e+01 4.579477137481460641e-06 5.444168747199818026e+05 1.030212966645602579e+00 1.000021321896581661e+00 4.999965957050424570e-01 4.746064113370149244e+03 3.190245810998330001e+01 4.417477665101274198e+01 1.159469480043761180e+01 1.982705112947366288e+00 1.999955480358881873e-05
6.800000000000000000e+01 4.618447411353075353e-06 5.550268319451734424e+05 1.030926157019391054e+00 1.000021553030011834e+00 4.999966160473389709e-01 4.796543127849382472e+03 3.209057973781875006e+01 4.443602403129337119e+01 1.184504903837643575e+01 1.982543969656693550e+00 1.999955476044440613e-05
6.900000000000000000e+01 4.656999378168495729e-06 5.657455691656842828e+05 1.031646870600120058e+00 1.000021782646208113e+00 4.999966379596635369e-01 4.847059081179032546e+03 3.227882620591812213e+01 4.469745456084768165e+01 1.209785008081212254e+01 1.982391753984310556e+00 1.999955471833439355e-05
7.000000000000000000e+01 4.695142129475937636e-06 5.765731165095848264e+05 1.032375115448886049e+00 1.000022010771405290e+00 4.999966614206297066e-01 4.897611495629954334e+03 3.246719640333746071e+01 4.495906737121426744e+01 1.235310245649587735e+01 1.982248654987419423e+00 1.999955467722715956e-05
7.100000000000000000e+01 4.732884467425211086e-06 5.875101151023166021e+05 1.033110899913731284e+00 1.000022237430911565e+00 4.999966864094251839e-01 4.948202726590124257e+03 3.265569964042957452e+01 4.522087610284493309e+01 1.261081860557552758e+01 1.982114844906578188e+00 1.999955463709013743e-05
7.200000000000000000e+01 4.770234917210225116e-06 5.985572214387971908e+05 1.033854232935263129e+00 1.000022462649175159e+00 4.999967129058660031e-01 4.998835115183538619e+03 3.284434558200256049e+01 4.548289487967750944e+01 1.287101147020593395e+01 1.981990490460984411e+00 1.999955459789214281e-05
7.300000000000000000e+01 4.807201738820796589e-06 6.097151102563195163e+05 1.034605124074603699e+00 1.000022686449820730e+00 4.999967408903718269e-01 5.049510999566282408e+03 3.303314415429952078e+01 4.574513820605194780e+01 1.313369458239836263e+01 1.981875752918211164e+00 1.999955455960326526e-05
7.400000000000000000e+01 4.843792938128956222e-06 6.209844749042891199e+05 1.035363583504782747e+00 1.000022908855674686e+00 4.999967703439839317e-01 5.100232717960199807e+03 3.322210553803181909e+01 4.600762095502136617e+01 1.339888203761457142e+01 1.981770788289299867e+00 1.999955452219483442e-05
7.500000000000000000e+01 4.880016277351297108e-06 6.323660278909259941e+05 1.036129621998219230e+00 1.000023129888799822e+00 4.999968012483078095e-01 5.151002614352968521e+03 3.341124018425342257e+01 4.627035839359483305e+01 1.366658844735410128e+01 1.981675748768682022e+00 1.999955448563933187e-05
7.600000000000000000e+01 4.915879284992463046e-06 6.438605007509910502e+05 1.036903250957435851e+00 1.000023349570523967e+00 4.999968335855375923e-01 5.201823036231023252e+03 3.360055885178078938e+01 4.653336624342299643e+01 1.393682901246127059e+01 1.981590783192085370e+00 1.999955444991035052e-05
